Rate,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE,D,D,D-CARE,D-CARE
ClimateZone,5,5,5,5,6,6,6,6,8,8,8,8,9,9,9,9,10,10,10,10,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,12,12,12,12
Season,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter,Summer,Winter
Bill(Avg),$82.71,$98.29,$37.44,$49.24,$101.18,$97.94,$48.96,$50.53,$130.00,$92.03,$61.62,$52.25,$172.01,$107.81,$82.47,$55.88,$189.77,$100.17,$120.36,$61.47,$213.30,$106.33,$131.52,$62.82,$173.86,$101.21,$115.51,$64.18,$250.08,$115.06,$157.45,$58.07,$102.53,$97.08,$77.14,$77.84,$197.35,$146.41,$117.58,$89.21
Bill(Median),$53.58,$66.47,$28.24,$34.44,$64.01,$65.70,$36.79,$38.18,$90.74,$67.89,$47.71,$40.23,$121.66,$73.20,$62.31,$42.65,$154.84,$74.13,$98.13,$49.25,$177.56,$75.12,$111.78,$49.49,$132.36,$70.02,$91.09,$49.50,$174.23,$69.24,$137.05,$45.69,$64.49,$64.39,$58.23,$58.14,$135.34,$103.72,$93.64,$66.54
kWh(Avg),410,494,300.8,388.2,484.6,488.5,375.3,397.6,618.3,468.1,457.4,400.1,821.5,547.6,613,438.4,973.2,548.5,883.7,492.7,1097.8,573.9,987.2,502.6,940.6,568.8,931.8,559.7,1422,569.4,1332.9,452.7,535,519.3,592.3,604,784,643.7,789.3,638.8
kWh(Median),319,400,259,314,367,395,324,343,502,401,400,348,683,447,532,382,890,470,805,436,1023,480,923,438,838,476,841,484,1227,436,1271,389,421,419,506,498,663,530,707,519
Rate(Avg),$0.202,$0.199,$0.125,$0.127,$0.209,$0.201,$0.131,$0.127,$0.210,$0.197,$0.135,$0.131,$0.209,$0.197,$0.135,$0.128,$0.195,$0.183,$0.136,$0.125,$0.194,$0.185,$0.133,$0.125,$0.185,$0.178,$0.124,$0.115,$0.176,$0.202,$0.118,$0.128,$0.192,$0.187,$0.130,$0.129,$0.25,$0.23,$0.149,$0.140
Rate(Median),$0.183,$0.183,$0.114,$0.114,$0.186,$0.186,$0.118,$0.118,$0.192,$0.192,$0.121,$0.121,$0.191,$0.191,$0.119,$0.119,$0.191,$0.191,$0.125,$0.125,$0.191,$0.191,$0.124,$0.124,$0.182,$0.182,$0.117,$0.117,$0.170,$0.170,$0.111,$0.111,$0.178,$0.178,$0.117,$0.117,$0.208,$0.208,$0.131,$0.131
#Observations,18456,25662,1932,2591,138217,191512,279585,385069,141830,198211,126346,174979,120733,169138,240365,338005,101449,140176,127960,179272,161566,225150,138548,192300,99062,136771,100476,140609,184798,259833,55985,80225,48385,67225,14027,19873,,,,
Company,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison,SouthernCaliforniaEdison, PacificGas&Electric , PacificGas&Electric , PacificGas&Electric , PacificGas&Electric 
